# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 4343       1.930129616748e+00       5.158363887967e-02       6.467709121008e-03      -7.200751406682e-02       3.882801707091e-10       3.628134494098e-08      -3.165938444878e-10 
 4344       1.926978650909e+00       5.147603793331e-02       6.462970808877e-03      -7.183810498937e-02       3.880381815862e-10       3.627251105705e-08      -3.315020215530e-10 
 4345       1.923814094278e+00       5.136886946546e-02       6.458238082511e-03      -7.166932809857e-02       3.877963507182e-10       3.626217366996e-08      -3.460754896908e-10 
 4346       1.920636059478e+00       5.126213206974e-02       6.453510929002e-03      -7.150119197571e-02       3.875546779843e-10       3.625040496335e-08      -3.602703837944e-10 
 4347       1.917444659363e+00       5.115582433620e-02       6.448789335397e-03      -7.133370521643e-02       3.873131632602e-10       3.623727732584e-08      -3.740427189439e-10 
 4348       1.914240007014e+00       5.104994485133e-02       6.444073288701e-03      -7.116687643076e-02       3.870718064177e-10       3.622286335132e-08      -3.873483902698e-10 
 4349       1.911022215743e+00       5.094449219805e-02       6.439362775880e-03      -7.100071424311e-02       3.868306073246e-10       3.620723583914e-08      -4.001431728150e-10 
 4350       1.907791399089e+00       5.083946495574e-02       6.434657783854e-03      -7.083522729227e-02       3.865895658452e-10       3.619046779438e-08      -4.123827213976e-10 
 4351       1.904547670822e+00       5.073486170019e-02       6.429958299502e-03      -7.067042423146e-02       3.863486818397e-10       3.617263242808e-08      -4.240225704735e-10 
 4352       1.901291144942e+00       5.063068100364e-02       6.425264309662e-03      -7.050631372828e-02       3.861079551647e-10       3.615380315746e-08      -4.350181339987e-10 
 4353       1.898021935676e+00       5.052692143475e-02       6.420575801128e-03      -7.034290446475e-02       3.858673856729e-10       3.613405360619e-08      -4.453247052916e-10 
 4354       1.894740157485e+00       5.042358155861e-02       6.415892760652e-03      -7.018020513734e-02       3.856269732130e-10       3.611345760460e-08      -4.548974568954e-10 
 4355       1.891445925057e+00       5.032065993673e-02       6.411215174945e-03      -7.001822445691e-02       3.853867176300e-10       3.609208918995e-08      -4.636914404405e-10 
 4356       1.888139353310e+00       5.021815512706e-02       6.406543030674e-03      -6.985697114880e-02       3.851466187650e-10       3.607002260664e-08      -4.716615865063e-10 
 4357       1.884820557393e+00       5.011606568395e-02       6.401876314465e-03      -6.969645395277e-02       3.849066764553e-10       3.604733230646e-08      -4.787627044838e-10 
 4358       1.881489652687e+00       5.001439015817e-02       6.397215012899e-03      -6.953668162305e-02       3.846668905341e-10       3.602409294883e-08      -4.849494824374e-10 
 4359       1.878146754801e+00       4.991312709694e-02       6.392559112517e-03      -6.937766292833e-02       3.844272608308e-10       3.600037940102e-08      -4.901764869665e-10 
 4360       1.874791979576e+00       4.981227504385e-02       6.387908599818e-03      -6.921940665178e-02       3.841877871710e-10       3.597626673845e-08      -4.943981630684e-10 
 4361       1.871425443082e+00       4.971183253892e-02       6.383263461255e-03      -6.906192159103e-02       3.839484693763e-10       3.595183024485e-08      -4.975688339993e-10 
 4362       1.868047261623e+00       4.961179811858e-02       6.378623683242e-03      -6.890521655823e-02       3.837093072644e-10       3.592714541254e-08      -4.996427011363e-10 
 4363       1.864657551732e+00       4.951217031568e-02       6.373989252149e-03      -6.874930037999e-02       3.834703006491e-10       3.590228794268e-08      -5.005738438396e-10 
 4364       1.861256430173e+00       4.941294765945e-02       6.369360154303e-03      -6.859418189744e-02       3.832314493400e-10       3.587733374550e-08      -5.003162193134e-10 
 4365       1.857844013942e+00       4.931412867555e-02       6.364736375989e-03      -6.843986996624e-02       3.829927531432e-10       3.585235894050e-08      -4.988236624684e-10 
 4366       1.854420530007e+00       4.921571159994e-02       6.360117894232e-03      -6.828637129606e-02       3.827542118878e-10       3.582742900292e-08      -4.960677429485e-10 
 4367       1.850986644929e+00       4.911769351965e-02       6.355504649109e-03      -6.813368396126e-02       3.825158255083e-10       3.580256614264e-08      -4.920914346626e-10 
 4368       1.847543136350e+00       4.902007122917e-02       6.350896571346e-03      -6.798180386850e-02       3.822775939634e-10       3.577778176155e-08      -4.869557161024e-10 
 4369       1.844090783349e+00       4.892284151620e-02       6.346293591524e-03      -6.783072691518e-02       3.820395172081e-10       3.575308729251e-08      -4.807217379009e-10 
 4370       1.840630366446e+00       4.882600116172e-02       6.341695640081e-03      -6.768044898948e-02       3.818015951941e-10       3.572849419937e-08      -4.734508230316e-10 
 4371       1.837162667602e+00       4.872954693991e-02       6.337102647307e-03      -6.753096597035e-02       3.815638278697e-10       3.570401397702e-08      -4.652044670069e-10 
 4372       1.833688470219e+00       4.863347561822e-02       6.332514543352e-03      -6.738227372749e-02       3.813262151798e-10       3.567965815142e-08      -4.560443380779e-10 
 4373       1.830208559143e+00       4.853778395731e-02       6.327931258219e-03      -6.723436812134e-02       3.810887570659e-10       3.565543827964e-08      -4.460322774323e-10 
 4374       1.826723720662e+00       4.844246871106e-02       6.323352721766e-03      -6.708724500309e-02       3.808514534660e-10       3.563136594991e-08      -4.352302993946e-10 
 4375       1.823234742510e+00       4.834752662660e-02       6.318778863708e-03      -6.694090021467e-02       3.806143043148e-10       3.560745278160e-08      -4.237005916248e-10 
 4376       1.819742413865e+00       4.825295444424e-02       6.314209613614e-03      -6.679532958875e-02       3.803773095432e-10       3.558371042534e-08      -4.115055153177e-10 
 4377       1.816247525351e+00       4.815874889754e-02       6.309644900908e-03      -6.665052894871e-02       3.801404690791e-10       3.556015056297e-08      -3.987076054026e-10 
 4378       1.812750869038e+00       4.806490671325e-02       6.305084654871e-03      -6.650649410867e-02       3.799037828467e-10       3.553678490765e-08      -3.853695707425e-10 
 4379       1.809253238445e+00       4.797142461132e-02       6.300528804636e-03      -6.636322087345e-02       3.796672507666e-10       3.551362520383e-08      -3.715542943339e-10 
 4380       1.805755428538e+00       4.787829930493e-02       6.295977279193e-03      -6.622070503859e-02       3.794308727563e-10       3.549068322732e-08      -3.573248335066e-10 
 4381       1.802258235735e+00       4.778552750042e-02       6.291430007385e-03      -6.607894239034e-02       3.791946487295e-10       3.546797078535e-08      -3.427444201231e-10 
 4382       1.798762457900e+00       4.769310589735e-02       6.286886917912e-03      -6.593792870563e-02       3.789585785963e-10       3.544549971655e-08      -3.278764607789e-10 
 4383       1.795268894351e+00       4.760103118847e-02       6.282347939328e-03      -6.579765975210e-02       3.787226622638e-10       3.542328189101e-08      -3.127845370021e-10 
 4384       1.791778345856e+00       4.750930005970e-02       6.277813000039e-03      -6.565813128808e-02       3.784868996349e-10       3.540132921033e-08      -2.975324054538e-10 
 4385       1.788291614637e+00       4.741790919016e-02       6.273282028308e-03      -6.551933906255e-02       3.782512906096e-10       3.537965360764e-08      -2.821839981280e-10 
 4386       1.784809504369e+00       4.732685525213e-02       6.268754952252e-03      -6.538127881522e-02       3.780158350840e-10       3.535826704765e-08      -2.668034225519e-10 
 4387       1.781332820179e+00       4.723613491106e-02       6.264231699842e-03      -6.524394627643e-02       3.777805329508e-10       3.533718152664e-08      -2.514549619862e-10 
 4388       1.777862368652e+00       4.714574482560e-02       6.259712198903e-03      -6.510733716720e-02       3.775453840990e-10       3.531640907257e-08      -2.362030756258e-10 
 4389       1.774398957828e+00       4.705568164754e-02       6.255196377113e-03      -6.497144719920e-02       3.773103884143e-10       3.529596174505e-08      -2.211123987999e-10 
 4390       1.770943397202e+00       4.696594202184e-02       6.250684162007e-03      -6.483627207476e-02       3.770755457785e-10       3.527585163542e-08      -2.062477431729e-10 
 4391       1.767496497729e+00       4.687652258660e-02       6.246175480972e-03      -6.470180748687e-02       3.768408560701e-10       3.525609086674e-08      -1.916740969448e-10 
 4392       1.764059071820e+00       4.678741997310e-02       6.241670261247e-03      -6.456804911915e-02       3.766063191639e-10       3.523669159388e-08      -1.774566250525e-10 
 4393       1.760631933347e+00       4.669863080576e-02       6.237168429928e-03      -6.443499264586e-02       3.763719349312e-10       3.521766600351e-08      -1.636606693702e-10 
 4394       1.757215897641e+00       4.661015170214e-02       6.232669913964e-03      -6.430263373188e-02       3.761377032394e-10       3.519902631416e-08      -1.503517489105e-10 
 4395       1.753811781494e+00       4.652197927293e-02       6.228174640155e-03      -6.417096803274e-02       3.759036239528e-10       3.518078477625e-08      -1.375955600255e-10 
 4396       1.750420403159e+00       4.643411012199e-02       6.223682535157e-03      -6.403999119457e-02       3.756696969315e-10       3.516295367212e-08      -1.254579766081e-10 
 4397       1.747042582354e+00       4.634654084628e-02       6.219193525480e-03      -6.390969885412e-02       3.754359220324e-10       3.514554531609e-08      -1.140050502930e-10 
 4398       1.743679140256e+00       4.625926803591e-02       6.214707537484e-03      -6.378008663876e-02       3.752022991086e-10       3.512857205445e-08      -1.033030106581e-10 
 4399       1.740330899510e+00       4.617228827411e-02       6.210224497386e-03      -6.365115016644e-02       3.749688280096e-10       3.511204626553e-08      -9.341826542617e-11 
 4400       1.736998684224e+00       4.608559813721e-02       6.205744331253e-03      -6.352288504574e-02       3.747355085812e-10       3.509598035974e-08      -8.441740066594e-11 
 4401       1.733683319971e+00       4.599919419470e-02       6.201266965007e-03      -6.339528687579e-02       3.745023406655e-10       3.508038677959e-08      -7.636718099408e-11 
 4402       1.730385633794e+00       4.591307300914e-02       6.196792324423e-03      -6.326835124635e-02       3.742693241011e-10       3.506527799971e-08      -6.933454977672e-11 
 4403       1.727106454199e+00       4.582723113622e-02       6.192320335127e-03      -6.314207373773e-02       3.740364587226e-10       3.505066652693e-08      -6.338662933131e-11 
 4404       1.723846611163e+00       4.574166512474e-02       6.187850922600e-03      -6.301644992083e-02       3.738037443613e-10       3.503656490028e-08      -5.859072112847e-11 
 4405       1.720606829374e+00       4.565637159080e-02       6.183384021235e-03      -6.289147487090e-02       3.735711808648e-10       3.502298153200e-08      -5.499545737956e-11 
 4406       1.717387407569e+00       4.557134744072e-02       6.178919601556e-03      -6.276714170709e-02       3.733387681580e-10       3.500990820779e-08      -5.257415268980e-11 
 4407       1.714188538130e+00       4.548658964886e-02       6.174457643093e-03      -6.264344304804e-02       3.731065061830e-10       3.499733252428e-08      -5.128117021160e-11 
 4408       1.711010413749e+00       4.540209518348e-02       6.169998125324e-03      -6.252037149765e-02       3.728743948784e-10       3.498524204234e-08      -5.107074445266e-11 
 4409       1.707853227423e+00       4.531786100675e-02       6.165541027680e-03      -6.239791964504e-02       3.726424341796e-10       3.497362428707e-08      -5.189698112831e-11 
 4410       1.704717172458e+00       4.523388407471e-02       6.161086329543e-03      -6.227608006459e-02       3.724106240187e-10       3.496246674776e-08      -5.371385701386e-11 
 4411       1.701602442467e+00       4.515016133730e-02       6.156634010246e-03      -6.215484531587e-02       3.721789643244e-10       3.495175687781e-08      -5.647521979691e-11 
 4412       1.698509231372e+00       4.506668973834e-02       6.152184049074e-03      -6.203420794370e-02       3.719474550222e-10       3.494148209473e-08      -6.013478792952e-11 
 4413       1.695437733401e+00       4.498346621552e-02       6.147736425262e-03      -6.191416047808e-02       3.717160960342e-10       3.493162978008e-08      -6.464615048037e-11 
 4414       1.692388143094e+00       4.490048770042e-02       6.143291117996e-03      -6.179469543423e-02       3.714848872792e-10       3.492218727943e-08      -6.996276698683e-11 
 4415       1.689360655295e+00       4.481775111849e-02       6.138848106414e-03      -6.167580531254e-02       3.712538286727e-10       3.491314190231e-08      -7.603796730695e-11 
 4416       1.686355465160e+00       4.473525338904e-02       6.134407369603e-03      -6.155748259859e-02       3.710229201268e-10       3.490448092220e-08      -8.282495147143e-11 
 4417       1.683372768152e+00       4.465299142526e-02       6.129968886605e-03      -6.143971976315e-02       3.707921615502e-10       3.489619157644e-08      -9.027678953544e-11 
