# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  107       2.878290287709e+03       8.643841464601e-01       3.726438906434e-03      -2.731339331918e+01       9.835496987939e-08       3.534667093842e-04      -1.882764483948e-06 
  108       2.910323557766e+03       8.775907902809e-01       3.797715620721e-03      -2.795619591893e+01       9.774524241231e-08       3.499188907295e-04      -1.887870989428e-06 
  109       2.942524305609e+03       8.905462560501e-01       3.869757896164e-03      -2.859558384783e+01       9.714243894042e-08       3.464623709756e-04      -1.894449678221e-06 
  110       2.974887662798e+03       9.032374887693e-01       3.942570426878e-03      -2.923102136197e+01       9.654771996318e-08       3.430944934457e-04      -1.902139330587e-06 
  111       3.007407785974e+03       9.156514686140e-01       4.016158006557e-03      -2.986196800614e+01       9.596149495956e-08       3.398101551532e-04      -1.910526198705e-06 
  112       3.040077824188e+03       9.277752182976e-01       4.090525529359e-03      -3.048787880166e+01       9.538333636025e-08       3.366016472909e-04      -1.919141381769e-06 
  113       3.072889886218e+03       9.395958104340e-01       4.165677990784e-03      -3.110820443422e+01       9.481188961201e-08       3.334584923179e-04      -1.927458151402e-06 
  114       3.105835007902e+03       9.511003749016e-01       4.241620488553e-03      -3.172239144175e+01       9.424477926402e-08       3.303672776444e-04      -1.934889227402e-06 
  115       3.138903119454e+03       9.622761062062e-01       4.318358223485e-03      -3.232988240225e+01       9.367851100647e-08       3.273114859145e-04      -1.940784003811e-06 
  116       3.172084477908e+03       9.731106148801e-01       4.395896495031e-03      -3.293012145423e+01       9.310975570889e-08       3.242761318568e-04      -1.944566818871e-06 
  117       3.205374231858e+03       9.835930144052e-01       4.474240685363e-03      -3.352257121794e+01       9.253978717951e-08       3.212630151152e-04      -1.946186679677e-06 
  118       3.238768352928e+03       9.937129808812e-01       4.553396274990e-03      -3.410669829377e+01       9.197092187891e-08       3.182779173499e-04      -1.945744062309e-06 
  119       3.272262200805e+03       1.003460431107e+00       4.633368848761e-03      -3.468196834620e+01       9.140518679679e-08       3.153259822189e-04      -1.943357795182e-06 
  120       3.305850503520e+03       1.012825532987e+00       4.714164096690e-03      -3.524784633872e+01       9.084427886519e-08       3.124116606182e-04      -1.939165907814e-06 
  121       3.339527337725e+03       1.021798715933e+00       4.795787814799e-03      -3.580379676889e+01       9.028952252154e-08       3.095386547102e-04      -1.933326494165e-06 
